Year,Poison,Gases,Hanging,Drowning,Firearms,Cutting,Jumping,Other
1980,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0
1999,240,61,317,26,37,12,84,31
2000,301,65,279,33,35,12,69,28
2001,282,51,294,33,18,18,85,18
2002,314,45,321,39,33,19,66,25
2003,341,46,299,49,27,21,72,24
2004,326,50,334,36,26,19,74,21
2005,304,35,309,36,19,19,78,17
2006,368,37,303,36,21,15,82,22
2007,363,36,341,42,20,16,85,25
2008,346,21,350,41,18,14,84,27
2009,366,33,406,24,24,13,78,26
2010,395,35,395,46,19,11,61,24
2011,348,33,416,35,16,15,76,15
2012,372,30,427,37,16,26,79,26
2013,384,41,443,45,28,27,99,28
2014,383,52,497,46,29,26,83,20
2015,358,23,460,52,26,14,84,22
2016,314,37,509,46,18,19,79,23
2017,254,30,487,29,18,21,73,19
2018,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0,0
